juris,sector,ambito,departamento,cod_depar,localidad,cod_loca,cueanexo,nombre,domicilio,cod_postal,telefono,mail,mod_comun,mod_especial,mod_adultos,ec_mat,ec_jar,ec_pri,ec_sec,ec_sec_inet,ec_snu,ec_snu_inet,ec_snu_cursos,esp_tem,esp_ini,esp_pri,esp_sec,esp_int,ad_pri,ad_sec,ad_fp,ad_fp_inet,ad_alf,hos_ini,hos_pri,hos_sec,tall_art,ser_com_
Formosa,Estatal,Rural,MATACOS,34028,CAMPO BANDERA,34028007,340000100,EPEP N 352,RP Nº39   CAMPO BANDERA,P3636,00 00,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Rural,MATACOS,34028,EL TREBOL,34028081,340000101,EPEP Nº 352 ANEXO 1,RP Nº39   EL TREBOL,P3636,3,Mendoza c Saavedra,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Rural,MATACOS,34028,TRES PALMITAS,34028082,340000102,EPEP Nº 352 ANEXO 2,   TRES PALMITAS,P3636,00 00,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Rural,MATACOS,34028,CAMPO GRANDE,34028008,340000200,EPEP Nº 220,   CAMPO GRANDE,P3636,00 00,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Urbano,MATACOS,34028,CAMPO LA CRUZ,34028010,340000201,EPEP Nº 220 ANEXO 1 (EX EPEP Nº 23 ANEXO 1),   PARAJE EL PARAISO,P3636,00 00,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Urbano,PIRANE,34056,EL COLORADO,34056091,340000300,EPET Nº 4,JUAN BAUTISTA ALBERDI  LA PEÑA ,P3603,0370 4480367,epet4@live.com.ar,1,,,,,,1,1,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Urbano,PIRANE,34056,EL COLORADO,34056091,340000400,EPEE Nº 3,CRISOLOGO LARRALDE 1221 ITATI AV. CRISOLOGO LARRALDE,P3603,03704 480092,esteladominguez1974@gmail.com,,1,,,,,,,,,,1,,1,,1,,,,,,,,,,
Formosa,Estatal,Rural,PIRANE,34056,BAÑADERO,34056020,340000500,EPEP Nº 202,   EL BAÑADERO- RP N° 9,P3603,(3704) 554606,juancuenca_43@hotmail.com,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Rural,PATIÑO,34035,SAN SIMON,34035552,340000600,EPEP Nº 229,   SAN SIMON -RUTA N° 9,P3603,0 0,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Rural,PIRANE,34056,COLONIA RODA,34056068,340000700,EPEP Nº 286,   COLONIA RODA,P3603,00 00,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Rural,PIRANE,34056,COLONIA EL PALMAR,34056052,340000800,EPEP Nº 415,   EL PALMAR ,P3603,0 0,ricardogm575@gmail.com,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Rural,PIRANE,34056,LA FLORESTA,34056175,340001200,EPEP Nº 303,RUTA Nº9   LA FLORESTA,3603,03704 272082,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Rural,PIRANE,34056,LA FLORESTA,34056175,340001202,EPEP Nº 303 ANEXO 2 (EX EPEP Nº 370),   ,P3603,00 00,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Rural,PIRANE,34056,LOTE 17-LEGUA A,34056191,340001300,EPEP Nº 371 DOCENTES RURALES,   LOTE 17-LEGUA A- CAMPO HARDY,P3602,3704 203292,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Rural,PIRANE,34056,KILOMETRO 224,34056167,340001400,EPEP Nº 27 GRAL. RICHIERI,   KILOMETRO 224 N.R.B.,P3603,0 0,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Urbano,FORMOSA,34014,FORMOSA,34014051,340001500,EPES Nº 42 ETELVINA CONCEPCIÓN BARRETO,MANZANA 52  JUAN DOMINDO PERON ,P3600,370 4000391,silva_gimenez@ciudad.com.ar,1,,,,,,1,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Rural,FORMOSA,34014,MARIANO BOEDO,34014158,340001900,EPEP Nº 55 DR. MARIANO BOEDO,   A UNA CUADRA ESTACION GRAL. BELGRANO,P3604,0 434243,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
Formosa,Estatal,Rural,PATIÑO,34035,BARTOLOME DE LAS CASAS,34035617,340002000,EPEP Nº 73 FRAY BME. DE LAS CASAS (EX EPEP Nº 483 ANEXO),   BARTOLOME DE LAS CASAS,P3622,0 0,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
